iter	Passed	Remaining
0	132	132280
1	133	66838
2	135	45045
3	137	34155
4	138	27635
5	140	23258
6	141	20123
7	143	17784
8	145	15967
9	146	14498
10	147	13306
11	149	12318
12	151	11472
13	152	10743
14	154	10115
15	155	9563
16	156	9077
17	158	8648
18	160	8279
19	162	7938
20	163	7615
21	164	7316
22	165	7043
23	166	6790
24	168	6554
25	169	6337
26	170	6131
27	171	5941
28	172	5765
29	173	5595
30	173	5437
31	174	5287
32	175	5146
33	176	5014
34	177	4888
35	178	4769
36	178	4654
37	179	4545
38	180	4440
39	180	4340
40	181	4245
41	182	4155
42	182	4069
43	183	3987
44	184	3909
45	184	3831
46	185	3759
47	186	3689
48	186	3620
49	187	3553
50	187	3489
51	188	3428
52	188	3368
53	189	3311
54	189	3256
55	190	3203
56	190	3151
57	190	3101
58	191	3053
59	191	3006
60	192	2960
61	192	2916
62	193	2873
63	193	2832
64	194	2792
65	194	2753
66	194	2715
67	195	2675
68	195	2639
69	196	2605
70	196	2571
71	197	2539
72	197	2507
73	197	2476
74	198	2445
75	198	2416
76	199	2387
77	199	2361
78	200	2334
79	200	2308
80	201	2282
81	201	2256
82	202	2232
83	202	2208
84	202	2183
85	203	2160
86	203	2136
87	204	2114
88	204	2093
89	204	2072
90	205	2051
91	205	2031
92	206	2011
93	206	1992
94	207	1973
95	207	1954
96	208	1936
97	208	1918
98	208	1901
99	209	1884
100	209	1867
101	210	1849
102	210	1833
103	210	1817
104	211	1801
105	211	1786
106	212	1771
107	212	1756
108	213	1742
109	213	1728
110	214	1714
111	214	1700
112	214	1687
113	215	1674
114	215	1661
115	216	1647
116	216	1635
117	217	1622
118	217	1610
119	217	1598
120	218	1586
121	218	1574
122	219	1561
123	219	1550
124	219	1539
125	220	1528
126	220	1517
127	221	1506
128	221	1495
129	221	1485
130	222	1475
131	222	1465
132	223	1455
133	223	1446
134	224	1436
135	224	1427
136	225	1418
137	225	1408
138	225	1399
139	226	1390
140	226	1382
141	227	1374
142	227	1366
143	228	1357
144	228	1349
145	229	1341
146	229	1333
147	230	1325
148	230	1317
149	231	1309
150	231	1301
151	231	1294
152	232	1286
153	232	1279
154	233	1271
155	233	1264
156	234	1257
157	234	1250
158	235	1243
159	235	1236
160	235	1229
161	236	1222
162	236	1215
163	237	1209
164	237	1202
165	238	1196
166	238	1189
167	238	1183
168	239	1177
169	239	1171
170	240	1165
171	240	1160
172	241	1154
173	242	1149
174	242	1143
175	243	1137
176	243	1132
177	243	1126
178	244	1120
179	244	1115
180	245	1108
181	245	1103
182	245	1098
183	246	1092
184	246	1087
185	247	1082
186	247	1076
187	248	1071
188	248	1066
189	249	1061
190	249	1056
191	249	1051
192	250	1047
193	250	1042
194	251	1037
195	251	1032
196	252	1027
197	252	1023
198	253	1018
199	253	1014
200	253	1009
201	254	1004
202	254	1000
203	255	996
204	255	992
205	256	988
206	256	983
207	257	979
208	257	975
209	258	971
210	258	966
211	259	962
212	259	958
213	259	954
214	260	950
215	260	946
216	261	942
217	261	938
218	262	934
219	262	930
220	263	927
221	263	923
222	263	919
223	264	915
224	264	911
225	265	908
226	265	904
227	266	900
228	266	897
229	266	893
230	267	890
231	267	886
232	268	883
233	268	879
234	269	876
235	269	872
236	270	869
237	270	866
238	270	862
239	271	859
240	271	856
241	272	852
242	272	849
243	273	846
244	273	843
245	274	839
246	274	836
247	274	833
248	275	830
249	275	827
250	276	824
251	276	821
252	277	818
253	277	815
254	278	812
255	278	809
256	278	806
257	279	803
258	279	800
259	280	797
260	280	794
261	281	791
262	281	788
263	281	786
264	282	783
265	282	780
266	283	778
267	283	775
268	284	772
269	284	770
270	285	767
271	285	764
272	286	762
273	286	759
274	287	756
275	287	754
276	287	751
277	288	748
278	288	746
279	289	743
280	289	741
281	290	738
282	290	736
283	291	733
284	291	731
285	291	728
286	292	726
287	292	723
288	293	721
289	293	718
290	294	716
291	294	714
292	294	711
293	295	709
294	295	707
295	296	704
296	296	702
297	297	700
298	297	697
299	298	695
300	298	693
301	299	691
302	299	689
303	299	686
304	300	684
305	300	682
306	301	680
307	301	677
308	302	675
309	302	673
310	303	671
311	303	669
312	303	667
313	304	665
314	304	662
315	305	660
316	305	658
317	306	656
318	306	654
319	307	652
320	307	650
321	307	648
322	308	646
323	308	644
324	309	642
325	309	640
326	310	638
327	310	636
328	310	634
329	311	632
330	312	631
331	312	629
332	313	627
333	313	625
334	314	624
335	314	622
336	315	620
337	316	618
338	316	617
339	316	615
340	317	613
341	317	611
342	318	609
343	318	607
344	319	605
345	319	604
346	319	602
347	320	600
348	320	598
349	321	596
350	321	594
351	322	593
352	322	591
353	323	589
354	323	587
355	323	585
356	324	584
357	324	582
358	325	580
359	325	579
360	326	577
361	326	575
362	327	573
363	327	572
364	327	570
365	328	568
366	328	567
367	329	565
368	329	564
369	330	562
370	330	560
371	331	559
372	331	557
373	332	555
374	332	554
375	332	552
376	333	550
377	333	549
378	334	547
379	334	546
380	335	544
381	335	542
382	336	541
383	336	539
384	336	538
385	337	536
386	337	534
387	338	533
388	338	531
389	339	530
390	339	528
391	340	527
392	340	525
393	340	524
394	341	522
395	341	521
396	342	519
397	342	518
398	343	516
399	343	515
400	344	513
401	344	512
402	344	510
403	345	509
404	345	508
405	346	506
406	346	505
407	347	503
408	347	502
409	348	500
410	348	499
411	348	497
412	349	496
413	349	495
414	350	493
415	350	492
416	351	491
417	351	489
418	352	488
419	352	486
420	352	485
421	353	484
422	353	482
423	354	481
424	354	480
425	355	478
426	355	477
427	356	476
428	356	475
429	357	473
430	357	472
431	358	471
432	358	469
433	359	468
434	359	467
435	360	465
436	360	464
437	360	463
438	361	461
439	361	460
440	362	459
441	362	457
442	363	456
443	363	455
444	364	454
445	364	452
446	364	451
447	365	450
448	365	448
449	366	447
450	366	446
451	367	445
452	367	444
453	368	442
454	368	441
455	369	440
456	369	439
457	369	437
458	370	436
459	370	435
460	371	434
461	371	432
462	372	431
463	372	430
464	373	429
465	373	427
466	373	426
467	374	425
468	374	424
469	375	423
470	375	421
471	376	420
472	376	419
473	376	418
474	377	417
475	377	415
476	378	414
477	378	413
478	379	412
479	379	411
480	380	410
481	380	408
482	380	407
483	381	406
484	382	405
485	382	404
486	382	403
487	383	402
488	383	401
489	384	399
490	384	398
491	385	397
492	385	396
493	386	395
494	386	394
495	386	393
496	387	392
497	387	390
498	388	389
499	388	388
500	389	387
501	389	386
502	389	385
503	390	384
504	390	383
505	391	381
506	391	380
507	392	379
508	392	378
509	393	377
510	393	376
511	393	375
512	394	374
513	394	373
514	395	372
515	395	371
516	396	370
517	396	369
518	397	368
519	397	367
520	398	366
521	398	364
522	399	363
523	399	362
524	399	361
525	400	360
526	400	359
527	401	358
528	401	357
529	402	356
530	402	355
531	402	354
532	403	353
533	403	352
534	404	351
535	404	350
536	405	349
537	405	348
538	406	347
539	406	346
540	406	345
541	407	344
542	407	343
543	408	342
544	408	341
545	409	340
546	409	339
547	410	338
548	410	337
549	411	336
550	411	335
551	411	334
552	412	333
553	412	332
554	413	331
555	413	330
556	414	329
557	414	328
558	415	327
559	415	326
560	415	325
561	416	324
562	416	323
563	417	322
564	417	321
565	418	320
566	418	319
567	418	318
568	419	317
569	419	316
570	420	315
571	420	314
572	421	313
573	421	312
574	422	311
575	422	310
576	422	310
577	423	309
578	424	308
579	424	307
580	424	306
581	425	305
582	425	304
583	426	303
584	426	302
585	427	301
586	427	300
587	428	299
588	428	298
589	428	298
590	429	297
591	429	296
592	430	295
593	430	294
594	431	293
595	431	292
596	431	291
597	432	290
598	432	289
599	433	288
600	433	287
601	434	287
602	434	286
603	435	285
604	435	284
605	435	283
606	436	282
607	436	281
608	438	281
609	439	280
610	439	280
611	440	279
612	440	278
613	441	277
614	441	276
615	442	275
616	442	274
617	443	273
618	443	272
619	443	272
620	444	271
621	444	270
622	445	269
623	445	268
624	446	267
625	446	266
626	446	265
627	447	265
628	447	264
629	448	263
630	448	262
631	449	261
632	449	260
633	450	259
634	450	258
635	450	258
636	451	257
637	452	256
638	452	255
639	453	254
640	453	253
641	453	253
642	454	252
643	454	251
644	455	250
645	455	249
646	456	248
647	456	248
648	456	247
649	457	246
650	457	245
651	458	244
652	458	243
653	459	242
654	459	242
655	460	241
656	460	240
657	460	239
658	461	238
659	461	237
660	462	237
661	462	236
662	463	235
663	463	234
664	464	233
665	464	233
666	465	232
667	465	231
668	466	230
669	466	229
670	466	228
671	467	228
672	467	227
673	468	226
674	468	225
675	469	224
676	469	224
677	470	223
678	470	222
679	471	221
680	471	220
681	472	220
682	472	219
683	472	218
684	473	217
685	473	216
686	474	216
687	474	215
688	475	214
689	475	213
690	476	212
691	476	212
692	476	211
693	477	210
694	477	209
695	478	208
696	478	208
697	479	207
698	479	206
699	480	205
700	480	205
701	481	204
702	481	203
703	482	202
704	482	201
705	482	201
706	483	200
707	483	199
708	484	198
709	484	197
710	485	197
711	485	196
712	485	195
713	486	194
714	486	194
715	487	193
716	487	192
717	488	191
718	488	190
719	489	190
720	489	189
721	490	188
722	490	187
723	490	187
724	491	186
725	491	185
726	492	184
727	492	184
728	493	183
729	493	182
730	494	181
731	494	181
732	495	180
733	495	179
734	496	178
735	496	178
736	496	177
737	497	176
738	497	175
739	498	175
740	498	174
741	499	173
742	499	172
743	499	172
744	500	171
745	500	170
746	501	169
747	501	169
748	502	168
749	502	167
750	503	166
751	503	166
752	503	165
753	504	164
754	504	163
755	505	163
756	505	162
757	506	161
758	506	160
759	506	160
760	507	159
761	507	158
762	508	157
763	508	157
764	509	156
765	509	155
766	510	154
767	510	154
768	511	153
769	511	152
770	511	152
771	512	151
772	512	150
773	513	149
774	513	149
775	514	148
776	514	147
777	515	146
778	515	146
779	515	145
780	516	144
781	516	144
782	517	143
783	517	142
784	518	141
785	518	141
786	519	140
787	519	139
788	519	139
789	520	138
790	520	137
791	521	136
792	521	136
793	522	135
794	522	134
795	523	134
796	523	133
797	524	132
798	524	131
799	525	131
800	525	130
801	525	129
802	526	129
803	526	128
804	527	127
805	527	127
806	528	126
807	528	125
808	529	124
809	529	124
810	529	123
811	530	122
812	530	122
813	531	121
814	531	120
815	532	119
816	532	119
817	532	118
818	533	117
819	533	117
820	534	116
821	534	115
822	535	115
823	535	114
824	536	113
825	536	113
826	537	112
827	537	111
828	538	110
829	538	110
830	538	109
